"","id_2014","birthYear","deathYear"
"1",1,1959,0
"2",2,1999,0
"3",4,1960,0
"4",7,1955,0
"5",8,1998,0
"6",11,1994,0
"7",12,1979,0
"8",13,2005,0
"9",16,1959,0
"10",17,1998,0
"11",18,1999,0
"12",21,1968,0
"13",22,1999,0
"14",23,1978,0
"15",25,2012,0
"16",26,2004,0
"17",28,2010,0
"18",29,1999,0
"19",30,1940,0
"20",32,1949,0
"21",35,2006,0
"22",36,2002,0
"23",37,1974,0
"24",38,1969,0
"25",41,2011,0
"26",42,2008,0
"27",43,1958,0
"28",45,2000,0
"29",46,2007,0
"30",47,2011,0
"31",48,1978,0
"32",49,2006,0
"33",52,1959,0
"34",54,1994,0
"35",55,2013,0
"36",56,1948,0
"37",58,2002,0
"38",59,2006,0
"39",60,1989,0
"40",62,1985,0
"41",63,1988,0
"42",65,1979,0
"43",66,2006,0
"44",67,1989,0
"45",68,1994,0
"46",70,1974,0
"47",71,1987,0
"48",72,2013,0
"49",73,2014,0
"50",74,2015,0
"51",75,1960,0
"52",76,1979,0
"53",81,2008,0
"54",83,1973,0
"55",88,1954,0
"56",91,2003,0
"57",93,1955,0
"58",94,1968,0
"59",95,1995,0
"60",100,1989,0
"61",104,2008,0
"62",105,2011,0
"63",106,1960,0
"64",108,2001,0
"65",109,2004,0
"66",111,2006,0
"67",112,2009,0
"68",114,2014,0
"69",115,1978,0
"70",116,1986,0
"71",117,2011,0
"72",118,1969,0
"73",119,1979,0
"74",120,1999,0
"75",121,2011,0
"76",122,2014,0
"77",124,1964,0
"78",126,2003,0
"79",127,2004,0
"80",128,2014,0
"81",129,2010,0
"82",130,1959,0
"83",131,1982,0
"84",132,2007,0
"85",133,1982,0
"86",135,2004,0
"87",137,1982,0
"88",142,2015,0
"89",143,2014,0
"90",146,2016,0
"91",149,2014,0
"92",150,2017,0
"93",151,2014,0
"94",152,2017,0
"95",153,2015,0
"96",159,2017,0
"97",160,2015,0
